Timestamp(unix/#),Used(K),Total(K),Pause(sec),GC-Type
1511315599,25600,516096,0.018168,GC pause (G1 Evacuation Pause) (young)
1511315599,41062,516096,0.0290524,GC pause (G1 Evacuation Pause) (young)
1511315600,115814,516096,0.0298121,GC pause (Metadata GC Threshold) (young) (initial-mark)
1511315600,0,0,0.0060619,GC remark
1511315600,52224,516096,0.0020783,GC cleanup
1511315602,266138,516096,0.0646601,GC pause (Metadata GC Threshold) (young) (initial-mark)
1511315602,0,0,0.0285679,GC remark
1511315602,104448,516096,0.0013909,GC cleanup
1511315604,390656,516096,0.0525992,GC pause (G1 Evacuation Pause) (young)
1511315606,390656,516096,0.0254828,GC pause (G1 Evacuation Pause) (young)
1511315607,391168,516096,0.012716,GC pause (G1 Evacuation Pause) (young)
1511315609,390656,516096,0.0126412,GC pause (G1 Evacuation Pause) (young)
1511315611,391168,516096,0.0338368,GC pause (G1 Evacuation Pause) (young)
1511315612,391168,516096,0.032581,GC pause (G1 Evacuation Pause) (young)
1511315614,391168,516096,0.0332025,GC pause (G1 Evacuation Pause) (young)
1511315616,391168,516096,0.0128135,GC pause (G1 Evacuation Pause) (young)
1511315618,391168,516096,0.0142892,GC pause (G1 Evacuation Pause) (young)
1511315620,390656,516096,0.0145052,GC pause (G1 Evacuation Pause) (young)
1511315622,390656,516096,0.0128651,GC pause (G1 Evacuation Pause) (young)
1511315624,391168,516096,0.0372568,GC pause (G1 Evacuation Pause) (young)
1511315625,392192,516096,0.0133155,GC pause (G1 Evacuation Pause) (young)
1511315627,392704,516096,0.0099243,GC pause (G1 Evacuation Pause) (young)
1511315630,395981,516096,0.0281991,GC pause (G1 Evacuation Pause) (young)
1511315631,400794,516096,0.0057089,GC pause (G1 Evacuation Pause) (young)
1511315632,403763,516096,0.0056772,GC pause (G1 Evacuation Pause) (young)
1511315633,404070,516096,0.0088949,GC pause (G1 Evacuation Pause) (young)
1511315634,404070,516096,0.0052291,GC pause (G1 Evacuation Pause) (young)
1511315635,404070,516096,0.003596,GC pause (G1 Evacuation Pause) (young)
1511315642,404070,516096,0.004392,GC pause (G1 Evacuation Pause) (young)
1511315643,404582,516096,0.0055633,GC pause (G1 Evacuation Pause) (young)
1511315644,404582,516096,0.0261226,GC pause (G1 Evacuation Pause) (young)
1511315645,404787,516096,0.0033202,GC pause (G1 Evacuation Pause) (young)
1511315646,404275,516096,0.0031222,GC pause (G1 Evacuation Pause) (young)
1511315647,404275,516096,0.0037704,GC pause (G1 Evacuation Pause) (young)
1511315648,404275,516096,0.0035288,GC pause (G1 Evacuation Pause) (young)
1511315653,404275,516096,0.0033422,GC pause (G1 Evacuation Pause) (young)
1511315654,421171,516096,0.0042863,GC pause (G1 Evacuation Pause) (young)
1511315655,420659,516096,0.004146,GC pause (G1 Evacuation Pause) (young)
1511315656,421171,516096,0.0046795,GC pause (G1 Evacuation Pause) (young)
1511315657,420659,516096,0.004058,GC pause (G1 Evacuation Pause) (young)
1511315658,420659,516096,0.0039439,GC pause (G1 Evacuation Pause) (young)
1511315659,420762,516096,0.0041246,GC pause (G1 Evacuation Pause) (young)
1511315660,421274,516096,0.0038571,GC pause (G1 Evacuation Pause) (young)
1511315663,420762,516096,0.0035383,GC pause (G1 Evacuation Pause) (young)
1511315665,420762,516096,0.0039195,GC pause (G1 Evacuation Pause) (young)
1511315666,421274,516096,0.0046914,GC pause (G1 Evacuation Pause) (young)
1511315667,421274,516096,0.0051599,GC pause (G1 Evacuation Pause) (young)
1511315668,421274,516096,0.0057482,GC pause (G1 Evacuation Pause) (young)
1511315669,421274,516096,0.0040472,GC pause (G1 Evacuation Pause) (young)
1511315670,420762,516096,0.0045259,GC pause (G1 Evacuation Pause) (young)
1511315671,421274,516096,0.0056784,GC pause (G1 Evacuation Pause) (young)
1511315683,421171,516096,0.0639669,GC pause (G1 Evacuation Pause) (young)
1511315684,273613,516096,0.256636,GC pause (G1 Evacuation Pause) (young)
1511315685,217702,516096,0.1099479,GC pause (G1 Evacuation Pause) (young)
1511315685,271360,516096,0.1289668,GC pause (G1 Evacuation Pause) (young)
1511315686,289792,516096,0.1655583,GC pause (G1 Evacuation Pause) (young)
1511315686,309248,516096,0.1609178,GC pause (G1 Evacuation Pause) (young) (initial-mark)
1511315687,320000,516096,0.1771639,GC pause (G1 Evacuation Pause) (young)
1511315687,327168,516096,0.125522,GC pause (G1 Evacuation Pause) (young)
1511315687,0,0,0.0233768,GC remark
1511315687,322560,516096,0.0047682,GC cleanup
1511315688,343040,516096,0.1661779,GC pause (G1 Evacuation Pause) (young)
1511315688,357888,516096,0.0910306,GC pause (G1 Evacuation Pause) (young)
1511315688,410624,516096,0.1691785,GC pause (G1 Evacuation Pause) (young) (initial-mark)
1511315689,429568,1032192,0.1129669,GC pause (G1 Evacuation Pause) (young)
1511315689,0,0,0.0196385,GC remark
1511315689,445440,1032192,0.0075958,GC cleanup
1511315689,447488,2064384,0.1327204,GC pause (G1 Evacuation Pause) (young)
1511315690,509440,3014656,0.163866,GC pause (G1 Evacuation Pause) (young)
1511315691,592384,3775488,0.331662,GC pause (G1 Evacuation Pause) (young)
1511315692,695808,4383744,0.3497942,GC pause (G1 Evacuation Pause) (young)
1511315694,790016,4870144,0.5181632,GC pause (G1 Evacuation Pause) (young)
1511315696,887296,5259264,0.5782208,GC pause (G1 Evacuation Pause) (young)
1511315698,989184,5570560,0.4006016,GC pause (G1 Evacuation Pause) (young)
1511315701,1095680,5820416,0.5059224,GC pause (G1 Evacuation Pause) (young)
1511315704,1203712,6020096,0.5079161,GC pause (G1 Evacuation Pause) (young)
1511315706,1311232,6179840,0.5504139,GC pause (G1 Evacuation Pause) (young)
1511315709,1420800,6307840,0.6521889,GC pause (G1 Evacuation Pause) (young)
1511315712,1531904,6410240,0.5909685,GC pause (G1 Evacuation Pause) (young)
1511315716,1642496,6492160,0.650532,GC pause (G1 Evacuation Pause) (young)
1511315719,1753600,6557696,0.6219578,GC pause (G1 Evacuation Pause) (young)
1511315722,1865216,6609920,0.5330611,GC pause (G1 Evacuation Pause) (young)
1511315724,1980416,6651904,0.593378,GC pause (G1 Evacuation Pause) (young)
1511315727,2105856,6684672,0.4649362,GC pause (G1 Evacuation Pause) (young)
1511315729,2232832,6711296,0.4999099,GC pause (G1 Evacuation Pause) (young)
1511315732,2359808,6732800,0.4166185,GC pause (G1 Evacuation Pause) (young)
1511315734,2488320,6750208,0.6548992,GC pause (G1 Evacuation Pause) (young)
1511315737,2617344,6763520,0.6783288,GC pause (G1 Evacuation Pause) (young)
1511315740,2746368,6774784,0.5231244,GC pause (G1 Evacuation Pause) (young)
1511315743,2874880,6782976,0.8176125,GC pause (G1 Evacuation Pause) (young)
1511315745,3004928,6790144,0.9190478,GC pause (G1 Evacuation Pause) (young)
1511315748,3133440,6795264,0.7103188,GC pause (G1 Evacuation Pause) (young)
1511315750,3261952,6799360,0.7819721,GC pause (G1 Evacuation Pause) (young)
1511315753,3393024,6803456,0.8325179,GC pause (G1 Evacuation Pause) (young) (initial-mark)
1511315756,3523072,6806528,0.9659491,GC pause (G1 Evacuation Pause) (young)
1511315760,3653120,6808576,0.9344622,GC pause (G1 Evacuation Pause) (young)
1511315763,3783680,6810624,1.0724286,GC pause (G1 Evacuation Pause) (young)
1511315767,3913728,6811648,0.4949805,GC pause (G1 Evacuation Pause) (young)
1511315770,4042240,6812672,0.817244,GC pause (G1 Evacuation Pause) (young)
1511315774,4172288,6813696,1.0195609,GC pause (G1 Evacuation Pause) (young)
1511315778,0,0,0.112025,GC remark
1511315778,4239360,6813696,0.0962102,GC cleanup
1511315778,4294656,6814720,0.8458624,GC pause (G1 Evacuation Pause) (young)
1511315781,4424704,6815744,0.8896909,GC pause (G1 Evacuation Pause) (young)
1511315784,4553216,6815744,0.6114739,GC pause (G1 Evacuation Pause) (young) (initial-mark)
1511315787,4681216,6815744,0.8086761,GC pause (G1 Evacuation Pause) (young)
1511315791,4810752,6815744,0.5751065,GC pause (G1 Evacuation Pause) (young)
1511315792,4914176,6815744,0.559798,GC pause (G1 Evacuation Pause) (young)
1511315794,4959744,6815744,0.1150843,GC pause (G1 Evacuation Pause) (young)
1511315794,4959744,6815744,0.0270061,GC pause (G1 Evacuation Pause) (young)
1511315794,4959437,6815744,0.0185128,GC pause (G1 Evacuation Pause) (young)
1511315795,4959027,6815744,0.0353805,GC pause (G1 Evacuation Pause) (young)
